playerID,Seasons,fullName,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,walks,BA,OBP,1B,SLUG,OPS,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
larkihe01,10,Henry Larkin,1184,4718,925,1429,259,114,53,836.0,129.0,0.0,484,182.0,101.0,0.0,585.0,0.303,0.38,1003,0.44,0.82,B,7692.0,381.0,356.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
larueja01,12,Jason LaRue,922,2719,307,628,148,7,96,348.0,14.0,11.0,237,760.0,107.0,18.0,344.0,0.231,0.315,377,0.396,0.711,B,4785.0,431.0,49.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
laryly01,16,Lyn Lary,1302,4603,805,1239,247,56,38,526.0,162.0,49.0,705,470.0,25.0,0.0,730.0,0.269,0.369,898,0.372,0.741,B,2496.0,3540.0,286.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lathaar01,18,Arlie Latham,1629,6832,1481,1836,245,85,27,563.0,742.0,0.0,589,305.0,85.0,0.0,674.0,0.269,0.334,1479,0.341,0.675,B,2080.0,3656.0,844.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lavagco01,10,Cookie Lavagetto,1043,3509,487,945,183,37,40,486.0,63.0,0.0,485,244.0,12.0,0.0,497.0,0.269,0.36,685,0.377,0.737,B,1364.0,1940.0,197.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,N
lavando01,13,Doc Lavan,1163,3891,338,954,134,45,7,377.0,71.0,56.0,209,376.0,24.0,0.0,233.0,0.245,0.288,768,0.308,0.596,B,2489.0,3668.0,461.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lawtoma02,15,Matt Lawton,1334,4763,756,1273,267,17,138,631.0,165.0,66.0,681,613.0,94.0,30.0,775.0,0.267,0.368,851,0.417,0.785,B,2595.0,59.0,42.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lawva01,11,Vance Law,1212,3802,453,972,193,26,71,442.0,34.0,26.0,408,602.0,9.0,36.0,417.0,0.256,0.326,682,0.376,0.702,B,1628.0,2495.0,123.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
lazzeto01,15,Tony Lazzeri,1740,6297,986,1840,334,115,178,1191.0,148.0,79.0,869,864.0,21.0,0.0,890.0,0.292,0.38,1213,0.467,0.847,B,3688.0,4944.0,314.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
leachfr01,10,Freddy Leach,991,3733,543,1147,196,53,72,509.0,32.0,4.0,163,189.0,27.0,0.0,190.0,0.307,0.341,826,0.446,0.787,B,2189.0,94.0,52.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
leachto01,20,Tommy Leach,2156,7959,1355,2143,266,172,63,810.0,361.0,14.0,820,666.0,32.0,0.0,852.0,0.269,0.34,1642,0.37,0.71,B,4008.0,2460.0,459.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
leeca01,16,Carlos Lee,2099,7983,1125,2273,469,19,358,1363.0,125.0,47.0,655,984.0,47.0,98.0,702.0,0.285,0.339,1427,0.483,0.822,B,4987.0,294.0,63.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,N
leede02,17,Derrek Lee,1942,6962,1081,1959,432,30,331,1078.0,104.0,48.0,874,1622.0,70.0,55.0,944.0,0.281,0.365,1166,0.495,0.86,B,14910.0,1367.0,98.0,0.99,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,N
leema02,11,Manuel Lee,922,2693,304,686,88,20,19,249.0,31.0,20.0,201,531.0,4.0,19.0,205.0,0.255,0.305,559,0.323,0.628,B,1444.0,2232.0,87.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
leetr01,10,Travis Lee,1099,3740,476,958,191,16,115,488.0,59.0,20.0,457,704.0,9.0,25.0,466.0,0.256,0.337,636,0.408,0.745,B,8239.0,587.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
leibeha01,10,Hank Leiber,813,2805,410,808,137,24,101,518.0,5.0,0.0,274,319.0,21.0,0.0,295.0,0.288,0.356,546,0.462,0.818,B,1719.0,59.0,46.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,N
leibone01,15,Nemo Leibold,1268,4167,638,1109,145,49,3,284.0,134.0,60.0,571,335.0,16.0,0.0,587.0,0.266,0.357,912,0.327,0.684,B,2319.0,177.0,101.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lemasjo01,14,Johnnie LeMaster,1039,3191,320,709,109,19,22,229.0,94.0,51.0,241,564.0,7.0,19.0,248.0,0.222,0.277,559,0.289,0.566,B,1555.0,2832.0,180.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lemkema01,11,Mark Lemke,1069,3230,349,795,125,15,32,270.0,11.0,19.0,348,341.0,0.0,30.0,348.0,0.246,0.317,623,0.324,0.641,B,1760.0,2671.0,73.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lemonch01,16,Chet Lemon,1988,6868,973,1875,396,61,215,884.0,58.0,76.0,749,1024.0,151.0,54.0,900.0,0.273,0.355,1203,0.442,0.797,B,4998.0,122.0,82.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,N
lemonji01,14,Jim Lemon,1010,3445,446,901,121,35,164,529.0,13.0,18.0,363,787.0,18.0,38.0,381.0,0.262,0.332,581,0.46,0.792,B,1799.0,58.0,76.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
leonaje01,16,Jeffrey Leonard,1415,5045,614,1342,223,37,144,723.0,163.0,61.0,342,1000.0,23.0,58.0,365.0,0.266,0.312,938,0.411,0.723,B,2191.0,81.0,62.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lewisbu01,11,Buddy Lewis,1349,5261,830,1563,249,93,71,607.0,83.0,59.0,573,303.0,20.0,0.0,593.0,0.297,0.368,1150,0.42,0.788,B,1964.0,1481.0,205.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lewisda01,15,Darren Lewis,1354,4081,607,1021,137,37,27,342.0,247.0,107.0,403,514.0,48.0,19.0,451.0,0.25,0.323,820,0.322,0.645,B,2778.0,42.0,16.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lewisdu01,11,Duffy Lewis,1459,5351,612,1518,289,68,38,793.0,113.0,47.0,352,424.0,40.0,0.0,392.0,0.284,0.333,1123,0.384,0.717,B,2657.0,210.0,123.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lewisma01,12,Mark Lewis,902,2795,320,736,155,13,48,306.0,29.0,18.0,196,511.0,16.0,28.0,212.0,0.263,0.312,520,0.38,0.692,B,1076.0,1927.0,104.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
leyriji01,15,Jim Leyritz,903,2527,325,667,107,2,90,387.0,7.0,7.0,337,581.0,65.0,24.0,402.0,0.264,0.362,468,0.415,0.777,B,2899.0,335.0,39.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lezcasi01,13,Sixto Lezcano,1291,4134,560,1122,184,34,148,591.0,37.0,31.0,576,768.0,19.0,46.0,595.0,0.271,0.36,756,0.44,0.8,B,2401.0,106.0,51.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
liebemi01,14,Mike Lieberthal,1212,4218,534,1155,257,10,150,610.0,8.0,7.0,335,571.0,89.0,43.0,424.0,0.274,0.337,738,0.446,0.783,B,7829.0,490.0,72.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,N
lindejo01,14,Johnny Lindell,854,2795,401,762,124,48,72,404.0,17.0,13.0,289,366.0,16.0,0.0,305.0,0.273,0.344,518,0.429,0.773,B,1788.0,52.0,39.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
lindjo01,10,Jose Lind,1044,3677,368,935,145,27,9,324.0,62.0,19.0,215,370.0,8.0,31.0,223.0,0.254,0.295,754,0.316,0.611,B,2183.0,3094.0,62.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lindsfr01,13,Freddie Lindstrom,1438,5611,895,1747,301,81,103,779.0,84.0,10.0,334,276.0,13.0,0.0,347.0,0.311,0.351,1262,0.449,0.8,B,2177.0,1628.0,136.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
liponjo01,11,Johnny Lipon,758,2661,351,690,95,24,10,266.0,28.0,25.0,347,152.0,7.0,0.0,354.0,0.259,0.346,561,0.324,0.67,B,1359.0,2160.0,141.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
litwhda01,14,Danny Litwhiler,1057,3494,428,982,162,32,107,451.0,11.0,0.0,299,377.0,27.0,0.0,326.0,0.281,0.342,681,0.438,0.78,B,1942.0,99.0,39.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
loberha01,14,Hans Lobert,1317,4563,640,1252,159,82,32,482.0,316.0,15.0,395,302.0,38.0,0.0,433.0,0.274,0.337,979,0.366,0.703,B,1775.0,2192.0,247.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
lockmwh01,17,Whitey Lockman,1666,5940,836,1658,222,49,114,563.0,43.0,27.0,552,383.0,19.0,15.0,571.0,0.279,0.342,1273,0.391,0.733,B,8417.0,592.0,124.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
loducpa01,13,Paul Lo Duca,1082,3892,483,1112,222,8,80,481.0,20.0,19.0,266,295.0,58.0,44.0,324.0,0.286,0.337,802,0.409,0.746,B,6879.0,532.0,75.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,N
