playerID,Seasons,fullName,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,R,IP,ERA,WHIP,K/9,K/BB,BAA,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
culpra01,11,Ray Culp,122,101,322,268,80,22,1,5695,1677,755,188,752,1411,863,1898.3,3.58,1.28,6.69,1.88,0.233,P,135,237,22.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
culvege01,11,George Culver,48,49,335,57,7,2,23,2367,793,317,42,352,451,354,789.0,3.62,1.45,5.14,1.28,0.263,P,67,156,13.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
cunnibe01,13,Bert Cunningham,142,167,342,311,287,4,2,8204,3071,1283,62,1064,718,1942,2734.7,4.22,1.51,2.36,0.67,0.277,P,197,676,111.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
cuppyni01,10,Nig Cuppy,163,98,302,262,224,9,5,6849,2520,884,62,609,504,1346,2283.0,3.48,1.37,1.99,0.83,0.275,P,94,552,34.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
curtijo01,16,John Curtis,89,97,438,199,42,14,11,4923,1695,722,140,669,825,810,1641.0,3.96,1.44,4.52,1.23,0.27,P,66,260,12.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
daalom01,13,Omar Daal,68,78,392,164,5,2,1,3596,1250,606,140,441,806,651,1198.7,4.55,1.41,6.05,1.83,0.271,P,72,224,13.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
dacqujo01,12,John D'Acquisto,34,51,266,92,7,2,15,2339,708,395,52,544,600,442,779.7,4.56,1.61,6.93,1.1,0.245,P,29,69,9.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
dailyed01,11,Ed Daily,66,69,151,139,132,6,1,3713,1217,466,39,380,407,780,1237.7,3.39,1.29,2.96,1.07,0.246,P,65,290,35.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
dalcabr01,12,Bruce Dal Canton,51,49,316,83,15,2,19,2794,894,380,48,391,485,442,931.3,3.67,1.38,4.69,1.24,0.252,P,58,128,8.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
daleybu01,11,Bud Daley,60,64,248,116,36,3,10,2902,998,433,100,351,549,502,967.3,4.03,1.39,5.11,1.56,0.261,P,69,172,16.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,N
danfoda01,10,Dave Danforth,71,66,286,109,43,2,23,3558,1235,512,45,455,484,618,1186.0,3.89,1.42,3.67,1.06,0.27,P,35,262,13.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
darenvi01,10,Vic Darensbourg,8,17,309,0,0,0,2,909,328,167,34,126,229,176,303.0,4.96,1.5,6.8,1.82,0.279,P,19,46,4.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
darliro01,15,Ron Darling,136,116,382,364,37,13,0,7081,2244,1016,239,906,1590,1139,2360.3,3.87,1.33,6.06,1.75,0.252,P,177,391,37.0,0.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,N
